;Review
99;I had lunch at Abacus on Friday (always a nice busy atmosphere on a Friday).  I had the Chicken Burger, which I have had before - good comfort food.  My friend has the Salmon salad which was also very nice.
100;I had lunch today at Abacus with a friend (I have been here on a couple of occassions).  I had the chicken burger, which was delicious.  It's a little pricey for a burger, but if you are a burger fanatic like me then you wont mind paying that bit extra.  The prices are very good here for dinner, but I do find they can be rather expensive for a lunch around £10 a head.  All in all a good meal.
101;Abacus was pretty quiet on a monday night, and the restaurant area was part of the main bar, however the food was good and there were good offers on wine and champagne, however a little lacking in atmosphere
102;Abacus, as always, easily hits the afterwork spot. Food was fine, but it's only really required to soak up the sweet cocktails. Whole crew had a good laugh.
103;An old favourite of mine. Great surrounds and perfect city location - right next to the Royal Exchange. Service was lacking a bit once it got busy but the food is tasty and is good value for a city location. Definitely recommended.
104;Abacus was great for after work drinks and nibbles. Great happy hour deals, and lovely table areas in the bar downstairs.
105;Brilliant lunch, good quick service and yummy food.
106;Abacus normally has pretty good service but today was not so good - 25mins to get a drink and on a lunch hour - it's not that impressive.  But good food and atmoshphere.  Would still recommend.
107;Food at Abacus was nice. Better than standard pub fare and excellent value for money.
108;We arrived at Abacus on a Friday evening and the bar was very busy with quite a rowdy group. Our table had been placed right next to the bar, far from ideal. Though when we aske dot be moved to a quieter corner things improved. We found the service to be friendly, though our drinks orders were initially forgotten about, we recieved an apology when they finally arrived. Great place if you want to go to the club afterward. Not recommended for a quiet drink on a Friday night. Would go back.
109;Abacus is ideally an evening joint in my opinion but still a good lunch location for fine service and good choice of food. Middle of the City which is handy.
110;Abacus definitely has a rep as a City bar and also meat market, but we went rather early, perched ourselves on comfy high seating and ordered your standard fare. Food was good standard but nothing special. Waitress was nice/friendly/smiley. A good stop off point for the evening.
111;Abacus - service was terrible! It took 1hour 20 and 6 trips to the bar before our 2 platters of food finally got delivered to our table! Nice ambiance though and happy hour prices are pretty good. Wouldn't rush back, at all.
112;We went to Abacus as a large group on a Friday evening to celebrate a birthday - staff were helpful although our table was slightly nearer to the toilets than we would ideally have liked. Food and drink was good quality and very reasonably priced. Great for a Friday night and hitting the downstairs club afterwards so a good night was had by all!
113;Think chef has changed since last year as food not as good. Dishes came out at different times so most were cold before we all started to eat. Serving everyone together is a fundamental requirement of a large group and we expect this in a professional establishment.  Staff did their best in the circumstances, were really sweet and helpful so not a criticism of them but more a management issue.  In spite of repeated pre-contact with booking staff they still failed to have wine on table on arrival
114;Abacus didn't have enough bar staff so sevice was slow. They also had problems with our food order which we faxed in advance, so no food had been prepared for our party! These problems were slowly fixed though and then night ended up alright!
115;Abacus, quite simply, made me look good when I booked it as the venue for our company's annual Christmas lunch. It did this by supplying exemplary service, always with a friendly smile, by providing a cosy, well-laid out area when I asked 'for something special' and nothing appeared to be too much trouble for the cool, attentive staff. I would definitely recommend this venue. Other bonuses: Bank station is just around the corner and great for after work drinks too - Thanks Abacus!
116;I don't know many people that go to Abacus to eat. Especially not on a Thursday night. The nibbles were sufficient, but it's all about the happy hour jugs of cocktails, followed by a light-hearted boogie on the dancefloor.
117;I had a lovely birthday celebration at Abacus with my work colleagues and it's a relief to know you can reserve a nice comfy area to yourself.  Took advantage of Happy Hour to buy some champagne so not too costly for a birthday! Great place and staff charming, if a bit overworked - they need more!
118;Abacus is a great place to go for a group lunch its is reasonably priced and the food is good.
119;Abacus We enjoyed our meal at and thought it was good value for money. The areas they need to improve would be service and to ensure they have most things on the menu. We ordered 3 different desserts but they only had one dessert in stock. We also chose 2 bottles wines and niether were in stock.
120;Essentially pub grub - all deep fried, pump it out fastt food. Would not be one I'd recommend.
121;Had work leaving do there and was v. impressed with customer service. Good news for the girls - there are loads of city men there on a Thursday!  Music got a bid dodgy later on but then I hate R&B!
122;Don't go for a meal! Nibbles and platters are good for lining the stomach, but it's all about the drinks here. Not as lively on a Wed night, but Thurs & Fri rock for happy hour cocktails.
123;The place is modern, good cocktail list, food menu is very cheap, good value for money. The club downstairs is a meat market....
