;Review
83;"Disappointing – off the listAt Wilton’s again to host a friend from the US for lunch.  All seemed to go well at first, a bright, breezy reception, a nice booth (albeit very close to another table) and seemingly interested staff.But the process was not relaxed with some urgency from the staff to get orders in, particularly drinks.  It felt a little like a fast food outlet.  The first course was unremarkable – my smoked salmon was thin to the point of transparency.The main course was poor. A “medium” filet steak came almost well done.  The lead waiter acknowledged this and suggested starting both meals all over again.  My guest had started his Dover sole, but we reluctantly accepted the solution and the inevitable delay.The replacement steak was little better.  Yes, it was no longer well done, but clearly the quality of the meat was not the best.  At this point I was more concerned to enjoy the conversation with my visiting friend than have further negotiations.The flow of the meal had been ruined and it over-ran.  My guest had to leave for another appointment, and I remained to pay the bill.  There was no one “on duty” as I left the table – in fact there were no staff visible except the coat assistant and a junior barman who was bantering with her.  It was like leaving a deserted ship.It’s a shame that Wilton’s has lost its edge – the meal was a disappointment, the service rushed and anxious – not the professional, relaxed atmosphere of a supposedly leading restaurant.I appreciate that the Wilton’s brand is heavily marketed, but the reality is that it does not deliver at its price point; I would hate visitors to London to be disappointed. Also, some of the tables are very close together.Wilton’s is now off my list of London restaurants for now and I would recommend others to look elsewhere."
84;Great food as usual but given a very poor table in the restaurant corridor. Was moved to a different table but again a very cramped position.
85;Wilton's is just wonderful - such a class act on all levels.
86;We were greeted by a warm and welcoming gentleman who took care of our coats in a very professional manner. The food quality is very high, and the wine list excellent.There were no scallops on that night, which came as a surprise for such an reputable seafood restaurant. Overall the service was perfect, with the notable exception of our  main waiter, whose slightly aggressive tone and manners was totally out of place in such an environment.
87;Nice restaurant on Jermyn street. Typical English food and service- a good thing, with subdued noise. The food was excellent as was the service.
88;An absolute gem of a restaurant for great food and wonderful personal service.
89;Excellent food and service. Expensive, but well worth the money.
90;It’s a wholly civilised and cultured experience. The servers are appropriately attentive and amenable.It’s also reassuringly expensive and worth every penny.
91;Outstanding. My favourite restaurant in London. We will be back. Thank you.
92;Was pleasantly surprised seeing that most restaurant’s customers respected a dress-code. A quality place to invite business partners or family and friends to. Not cheap but this brings certain clientele. The only thing missing for me was no music. Some quiet relaxed jazz (Marc Johnson, for example) at the background would be nice and suitable for this venue. Food was delicious and they have a good choice of wines.
93;Wilton's is always a pleasure to dine with. Their service, food and atmosphere is impeccable.
94;Service that went above and beyond, lovely wait staff, fab food, all served with old school charm and flair! We had a great night, it was my first visit and it certainly won’t be the last...thank you!
95;If  I had to dine at just one restaurant anywhere in the world for ever more it would be Wiltons.
96;This is just a fun place to eat, if you are looking for an old-school experience. Great staff, good food and beautiful restaurant.  We really enjoyed ourselves.
97;Thoroughly enjoyed the evening! Will recommend to anyone!
98;The beef Wellington and Dover sole were truly special and the service outstanding. A memorable dining experience.
99;The best restaurant in London without question. Impeccable service in the best tradition, only possible in an establishment owned by bankers who presumably don't expect it to be a major profit centre.
100;Very nice evening in a restaurant that makes you feel part of history: 277 years. Hopefully many years still to come. Btw great food, attentive staff, nice wine.
101;Wilton’s is THE British restaurant. The service and food are terrific and it’s always nice to be dining where everyone dresses properly
102;Great food and atmosphere! Really love this place!
103;Wilton’s was a classic restaurant with great seafood and service.  The wine list was extensive and the fish was the best in town.
104;Wiltons always delivers. The best restaurant in the world? I do not know, but the best I have been to...ever. First time with my father many, many years ago, and still the same quality. in fact we had a great lunch, had a brief rest and went back for oysters for dinner...
105;As usual Wilton’s hospitality and food quality is second to none.  I love this restaurant and consider it the best restaurant in London.
106;Top class. Best service. Classic english food. Nothing better than wiltons
107;The Wilton’s experience is unparalleled! Immaculate service is the norm so this visit was slightly disappointing in that we had to call the waiter a couple of times.Food was excellent but the menu was more limited than I remembered.Still a great treat.
108;We arrived early for a pre theatre dinner. We were welcomed, led to the bar and offered a drink. The menus appeared, and explanations offered.My partner asked about the dove sole, but chose the plaice. I chose smoked salmon  (delicious) , from  the winter menu, followed by a meaty and excellent skate served with crunchy topping of spring onions lemon and herbs.Ultimately we were told that the plaice was not available, but the very efficient and charming head waiter offered fried filets of Dover sole, instead. With chips and some spinach,, we enjoyed a real treat.I had a glass of Sancerre, whilst my partner took a glass of the house Chablis:crisp flinty and flavoursome.We refused dessert, but enjoyed the chocolate truffles for a little sweet taste at the end of a very pleasant meal. Although we needed to be finished and ready to leave by 6.50pm, were never felt to be rushed, the  waiter merely asking when we arrived if we were going to the theatre that evening.
109;Great fish, very well prepared, presentation is excellent, service is perfect
110;The stilton soufflé was amazing. a very special place with fantastic service...
111;Very good, old school experience. We really enjoyed the food. Lovely (vegan) mushroom and ale pie. We also loved the good choice of vegetable side orders.
112;Valentines Day evening meal at Wiltons. First time eating here and had an outstanding time. The food and service was second to none. Will definitely be adding this to the list to return to in the future and would highly recommend if you have not been before.
113;Outstanding Perfect meal in a fabulous setting in a great restaurant
114;Disappointed overall with Wiltons. Very buzzy atmosphere but food wasn't as good as hoped. Service veru good and friendly. Very expensive for the quality of food
115;Phenomenal food, phenomenal staff, simply great.  Thank you.
116;We had a great night at Wilton’s. They really understand that they are in the hospitality business and the whole experience reflected that. The Food was very good, the service excellent.
117;Wonderful experience will definitely be back and certainly would recommend.
118;Superb service, good atmosphere and excellent food
119;An understated elegant dining Romney with superb service and wonderfully prepared food. Not a lot more to say really, except I’ll return soon..
120;Important dinner for me, joined by senior leadership of our firm and top customers. Thanks to the staff. They were all fantastic. Superb service and all smiles. Tip of the hat to the manager for selecting and developing a great team.  I'll be back when I next return to London.  All the best.
121;Wiltons is what it is. I would go there every day if I could afford to. Nearly everything was perfect ….the oysters, the plaice the Swiss wine Petite Arvine (very difficult to find this one). Top marks all round.
122;"Second visit, fantastic as the first time, English, cosy, relaxing place , service, ""assiette"" delicious....Continuity...... GREAT....."
123;Never fails - always excellent and over many years, I’ve never been disappointed!
124;The Honey glazed gammon from carving trolly was to die for!!
125;Perfect dinner, delicious cocktails, lovely service.  Amazing all around.
126;Wilton’s is expensive as it should be given its location and quality. We go because of the traditional English food, and particularly the fish. Also because it’s very civilised experience (unless you’re on one of the tables jammed in the aisles. They really should be removed even though it does mean the loss of some covers.) We we’re fortunate enough to have been given a lovely quiet, comfortable booth.On this visit, the potted shrimps, large Dover soles, creamed spinach, female sommelier-recommended St Aubin, crème brûlée, and coffee, salted caramel and vanilla ice creams, were all marvellous. Service was efficient and sweet. The only duds were a deconstructed prawn cocktail that had obviously been formed in a large pastry cutter. They should leave this nonsense to lesser restaurants. We all know what a good prawn cocktail should look like, and contain, namely a wide glass layered with a chiffonade of lettuce, a good heap of hand-peeled North Atlantic prawns - not tiger prawns - all napped with a proper Marie-rose sauce. A garnish of lemon and/or cucumber and a dash of cayenne are acceptable. The small loaf of bread looked great but was also disappointing, being a bit stale.With two glasses of decent house champagne and two whisky sours the bill was £350 including service. A lot for two but it was our Christmas present to ourselves and we thoroughly enjoyed our evening.
127;Exquisite food, always excited to come to this wonderful London institution. Calm, grown up and posh but in such an understated way.
128;Quintessential British and that’s why I like it. Remains traditional and maintains high standards
129;Wiltons is wonderful I love it, long may it remain exactly like it is, I love the tablecloths if only more restaurants had tablecloths and the organisation and service is great as is the food and wine list- I never want it to modernise I hate modern restaurants I like character and heart abd soul
130;The place to enjoy a civil lunch or dinner with close friends and family with the trimmings of excellency More of the same to come I hope
131;"My first attempt to book a table at Wilton's failed: it was closed for renovations for a  long period. I was booking at the suggestion of my guest, Sir Ian Moncrieffe of that Ilk, and the time was nearly 30 years ago. Sir Ian particularly liked Wilton's ""because it is the only smart London restaurants that has waitresses, and they remind me of my nanny.""  The waitresses seem now to have been replaced with young, eager and caring young men, but there are some notably comely young women helping them. The food is always superb. My host ordered plaice, a fish I normally disdain, feeling life is too brief to eat plaice or lemon sole. I was proved wrong by Wilton's plaice meunière. My own Loch Duart oysters were spectacular, huge, firm and brinily delicious. Our bottle of house Chablis was a bargain at £49. Despite the several tables of very young lovers (how could they afford Wilton's?), this is still the place for gentlemen to enjoy each others' company, superb food, and the best service in London."
132;Always a pleasure.
133;Wiltons is as usual a unique place in London, a first class British restaurant with a marvellous acoustics which makes it possible for a quiet conversation the whole evening. The food is excellent, especially the sea food and the oysters. I simply love the place.
134;Locale che ha una lunga storia, ma non aperto alle esigenze dei clienti. Materia prima ottima, ma cucina non curata all’altezza del prezzo.
135;The most classic of classic London Restaurants, one to be enjoyed and savoured.
136;Excellent in every way. The food was perfectly cooked. The ingredients of excellent quality. The staff friendly and very professional. This restaurant is a very special place, probably the best dining experience I have had.  Quality through and through. Thank you.
137;An excellent experience, I could not fault any aspect of it. I have been visiting for years and will continue to do so.
138;It could not have been better.  Food, wine, service: all of the highest standards
139;Great food , the Lobster Newburg especially. Nice table and service was ok on the whole. Did not get the wine list until asking and therefore a long delay between aperitifs and getting another drink. Despite that very good all round
140;Simply outstanding from start to finish - a wonderful family dinner, great service and delicious food! Expensive but worth every penny.
141;Best fish restaurant in London.
142;Excellent as ever. Oysters first class and both dover sole and turbot outstanding. Good service from sommelier as always.
143;It was my fifth time at Wilton’s. The food was as good as always but the service was poor. This was surprising since I’ve always been happy with the service previously. We had to ask for menues and it was hard to get the attention of the waitors. After discussing this with one of the waitors the service improved but it was still not great.
144;I looked for a true British experience and I fully reached my target. Very attractive menu with a variety of oysters, seafood and game. The ambiance is stylish but friendly and easy at the same time. Service simply excellent. I had a fantastic selection of oysters and a roasted pheasant like a typical Christmas proposal. Indeed the pheasant was slightly tough but this has really been the only point of improvement. All the rest deserved __rating. It will be one of my preferite stops in the future.
145;A fantastic traditional restaurant, such a find. Look forward to returning on my next visit to London.
146;Went with my fiancee for lunch. We chose the Seasonal menu which was the cheaper option but still outstanding value. We both went for the two course option with my fiancee going for the salmon starter which was plentiful and exquisite. We both went for the roast beef (Wednesday) which was melt in the mouth tender, roast potatoes come with it. We had some sprouts which are a bit pricey at £6.00 for the portion. We shared a date and walnut steamed pudding which was delicious. All this was washed down with a bottle of muscadet which was one of the cheaper options on the extensive wine list. The service was spot on and I would like to thank Michael Stokes for taking time to tell us about the history of the restaurant. First class !
147;The perfect English restaurant! Excellent food and service exquisite ambiance and environment.
148;The highest quality nostalgic cooking in surroundings to matchFabulous
149;Almost to much service...if there is such a thing.
150;My Wilton’s experience was superlative in every imaginable way. The food was exquisite.  The service was impeccable. The ambiance was unsurpassed.  I have no more over-the-top adjectives to describe it.
151;Wilton's is the gold standard for all other London restaurants.  It is always wonderful....
152;Consistent top notch food and service. Not innovative, not pretentious, not Michelin 3 star, but always excellent and pleasing. 100% reliable.
153;Always a wonderful enjoyment and a feeling of relaxation . We are seated and we give a big sigh and sit back and enjoy the experience.
154;An old favourite which disappointed us a little on this occasion. Known for the most attentive service amongst London restaurants we felt a bit neglected on this occasion. The food was not quite up to standard and  the size and presentation of the sole was less good than usual with some bones which had been overlooked. The grouse had been cut up when the request was for it to be whole.  None of these elements spoilt our evening but when you are paying Wiltons prices you expect the very best!
155;Excellent food and service but a little pricey. Wonderful atmosphere
156;Wonderful service, great British atmosphere  and excellent food.
157;Wiltons est une des plus belles adresses de Londres: un accueil très courtois, un décor élégant et reposant, un service discret, efficace et très professionnel et une cuisine d'un grand classicisme mais d'une extrême qualité. La sole de Douvres est un délice, même très légèrement trop cuite, présentée avec une sauce tartare exquise. la carte des vins est d'une grande richesse et offre un panorama passionnant.Certes, tout cela a un prix assez élevé mais en rapport avec la qualité du restaurant que je souhaite aux gourmets de découvrir et qui laisse un excellent souvenir.jean michel barate
158;My wife and I had dinner at Wilton's on a special occasion. Not a cheap option but outstanding and worth every penny. Attentive service, unhurried (a good thing). Food came out promptly. Cheese souffle and potted shrimp starters followed by lobster omelette, all very good. Quiet alcove table was just what we wanted.
159;Very nice British restaurant with great service and excellent food. Beef Wellington was delicious! A little bit pricey but worth every penny spent
160;Usual top quality food and service they never fail to deliver
161;This traditional, English, restaurant is one of the few places in London where you can guarantee that the food and wine will be excellent, the service impeccable without being intrusive and the ambiance oak panelled luxury with subdued lighting and real comfort.  This doesn't come cheap but you get what you pay for.  Fish, including perfectly grilled Dover sole and wonderful langoustine, vye for top billing along with seasonal grouse.  If there is any complaint it is that the excellent and comprehensive wine list would be improved by the inclusion of more bottles below the £60 level which impacts heavily on the service charge.  It requires no more effort to serve a £250 bottle than a £50.  But at 15% the choice of wine can easily add £30 in service to the bill.
162;Extremely welcoming, friendly and courteous staff who provide a very efficient level of service. Food is excellent.
163;Not the old wilton’s and very expensive.   I think the sole pre cooked?  Service average,  ifthey are ging to take the wine away from table they need to be more attentive onrefils
164;Excellent meal and service from the staff at the restaurant and starting with champagne.
165;Atemporal... Faultless ... Delicious ... Perfect antidote to cold and grey evenings
166;As expected and always delivered, the service, ambiance and particularly the food were all fantastic. A highly recommended spot for seafood and more with a fabulous oyster selection.
167;I love this place, the oysters, the seafood, smoked salmon and on and on.A must each time we visit London.
168;One of the oldest restaurants in London. Great food and excellent service.  The ambiance is traditional and very beautiful. Wine list is great and the food was awesome.
169;Having dinner at Wilton’s is the best thing to do with friends. Everything about this place makes me go back again and again.
170;Always a treat to get back to this exceptional restaurant for amazing seafood, great service and lovely ambiance. The oysters are perfect, the Dover sole is top notch, the savouries are fun and deserts delicious. All that and a wonderful wine list!
171;Overall everything was lovely. My only complaint is the special appetizer of white truffle and scrambled eggs for 60 pounds. Very mediocre and ridiculously expensive. It seems embarrassing for a restaurant such as Wilton’s to offer such a dish. All else was quite pleasant and wonderful after we got beyond the disappointing appetizer.
172;Literally, one of the world's best and most famous restaurants. Expensive, but value for money. Wonderful shellfish and fish, also game. Splendid service.
173;One of the pearls on the London culinary crown !Hospitable, great food, friendly service and a sommelier who knows her wines.
174;Never fails to please!  A great restaurant and long may it remain so!!
175;"Rare and excellent old world atmosphere, good food, interesting wine list.  Formal, attentive service as one would expect from a true Jermyn Street institution.  If you are not one of their regulars, however, do be aware they can push quite hard to turn the table. If you arrive early and/or plan to enjoy a long evening the excessive hovering, stern glances create a feeling of being rushed. More than once we needed to state firmly, ""No I've not quite finished, thank you"" to avoid plates being snatched."
176;A truly excellent English dining experience.
177;A great team, top quality food and overall, a class act
178;In my opinion this must be the best traditional restaurant in town, My wife and I had the most fabulous Dinner on Sat, The food ,The  Staff and Service was all Top Notch, Well Done
179;"Our two visits here were the gastronomic highlights of our nine-day holiday in London.  I came for the grouse, my wife for the fish; everything was excellent: food, service, ambience."
180;Fantastic as always this place always delivers and it’s my favourite restaurant in London __
181;my lobster appetizer was tainted with the smell of a dumpster, as was the main course. the wine poured at my table was reasonable.  I complained when they asked was it good. there was no adjustment in the price, only smug grins as I left the place.  the food and staff were a complete disappointment,
182;This is a perennial favourite! All the British classics are here.
183;You go to Wiltons for unchanging consistency, quiet, consideration for the diner. My plaice was beautiful and a salad starter was excellent.
184;Everything was perfect but the only thing was not good that it was very very hot
185;"This was our first visits; it was so good we returned a few days later."
186;Wonderful food especially the seafood which was outstanding
187;Heard a lot about Wiltons over time --this was our first visit, we were not disappointed! Even made one of the small booths! Food excellent -drinks a little expensive, but for a special occasion not a problem.                                     Be with you again soon Wiltons.
188;Exquisitely Luxuriously Fabulous
189;Fantastic experience on our second visit to Wiltons. Service is impeccable, food delicious (we both had fish and shellfish in my case) and the atmosphere very relaxing yet buzzy. One of my favourite restaurants in London, particularly for lunch.
190;Excellent seafood with the freshest oysters, crustaceans and flatfish. Great wine list and well made cocktails. Traditional and attentive service. Makes dinners an occasion. A bit short on space, the tables for two are a squeeze.
191;Simply Fantastic and as a proper Restuarant should be. No Gimmicks or fussy food just first class cuisine cooked and served superbly. One of my favourite places to eat.
192;Excellent ambiance for a Romantic celebratory meal with superlative service.
193;We have been to Wiltons a number of times usually to celebrate something (bit expensive for us for it to be somewhere we would go a lot).  The food and service have always been outstanding and the ambience is also really nice if you want somewhere not too noisy
194;The ambience is perfect in Wiltons. English, discreet, like a gentleman’s club. Service was friendly but never intrusive. Food was simple in execution, good quality ingredients. Unhesitatingly recommended for a quiet dinner for two.
195;Excellent food and service.  Great ambience and very traditionally English.  Wine list extensive and expensive. Tommaso gave us an exceptional oyster tasting masterclass
196;Wonderful food and service. They even designed a main specially for my wife
197;Extraordinary seafood.  The turbot was magnificent!
198;I took my husband here for his birthday, we loved the traditional food, the building and the people looking after us were charming.
199;A wonderful dining experience , service was impeccable , food was fantastic and the atmosphere is eligant but warm.  Highly recommend this restaurant while in London.
200;I am from Virginia and dinner atWilton’s is always in my agendaWhen in London.
201;Over priced-especially the wine list. Food was terribly basic. Nice if you want quiet romance and very old school surroundings.  But definitely not worth the prices
202;Another lovely birthday meal with outstanding food and friendly professional service.  Dover dole on the bone main course and Pimms jelly pudding were the highlights this time- starting to take the lobster cocktail for granted!
203;Outstanding restaurant , this is better than Michelin star.  Service is second to none and attention to detail is perfection .
204;"Ultra traditional English restaurant on Jermyn Street treasured for many years. Gentlemen's club atmosphere, expert service, English food with excellent regular carving trolley - delightful to have Sunday roast beef on a Wednesday but book early to avoid disappointment. Must also mention my favourite starter, the Cropwell Bishop Stilton twice baked souffle - it usually tempts me away from the set lunch. Wine list is wonderful though few bottles under £50. I have been for lunch about four times and expect to return on future visits to London; I feel really comfortable here."
205;I had a lovely lunch with my husband.  Exceptional service and great food, well cooked and presented. Good ambience, so comfortable I could have stayed all afternoon. Looking forward to dining there again.
206;As always Wilton’s never disappoints. Exceptional food. Lovely staff. This is by far my favourite restaurant.  See you soon.
207;The most elegant and delicious food in London.  Perfect service, old school glamour, excellent quality sustainable food.
